Name,Status,Native,population_1996,population_2006,population_2017,population_2023
Burj al-'Arab,Kism urban and rural parts,قسم برج العرب,34066.0,51626.0,89732.0,134265.0
Karmūz,Kism fully urban,قسم كرموز,147277.0,120062.0,104064.0,111006.0
Madīnat Burj al-'Arab al-Jadīdah,New City,مدينه برج العرب الجديده,7051.0,41661.0,43811.0,46727.0
Mīnā al-Baṣal,Kism fully urban,قسم مينا البصل,292722.0,254986.0,252549.0,269400.0
Muḥarram Bik,Kism fully urban,قسم محرم بك,302608.0,299401.0,279899.0,298591.0
Sīdi Jābir,Kism fully urban,قسم سيدى جابر,189824.0,226304.0,251526.0,268294.0
Al-Ismā'īliyah,Governorate,الإسماعيلية,714828.0,953006.0,1303993.0,1452743.0
Abū Ṣuwīr,Markaz,مركز ابو صوير,537638.5612903226,152316.0,206116.0,223134.0
Al-Ismā'īliyah,Markaz,مركز الاسماعيلية,537638.5612903226,97542.0,159923.0,170774.0
Al-Ismā'īliyah 1,Kism fully urban,قسم أول الاسماعيلية,31673.0,31903.0,43000.0,50388.0
Al-Ismā'īliyah 2,Kism fully urban,قسم ثان الاسماعيلية,145190.0,165731.0,228009.0,267182.0
Al-Ismā'īliyah 3,Kism fully urban,قسم ثالث الاسماعيلية,78271.0,95550.0,113342.0,132818.0
Al-Qanṭarah,Markaz,مركز القنطرة,67775.0,105266.0,148588.0,163093.0
Al-Qanṭarah Sharq,Kism urban and rural parts,قسم القنطرة شرق,21558.0,42197.0,56294.0,63073.0
Al-Qaṣāṣīn al-Jadīdah,New City,مركز القصاصين الجديده,537638.5612903226,71513.0,111618.0,121455.0
At-Tall al-Kabīr,Markaz,مركز التل الكبير,537638.5612903226,66442.0,101179.0,112415.0
Fa'id,Markaz,مركز فايد,71106.0,109815.0,135924.0,148411.0
Al-Jīzah,Governorate,الجيزة,4784095.0,6294319.0,8632021.0,9514540.0
Ad-Duqqī,Kism fully urban,قسم الدقي,537638.5612903226,83430.0,70926.0,76528.0
Al-Ahrām,Kism fully urban,قسم الأهرام,537638.5612903226,556560.2875647668,659305.0,711161.0
Al-'Ajūzah,Kism fully urban,قسم العجوزة,537638.5612903226,258511.0,278479.0,300422.0
